name,age,dni,source,tags,phone,external_id
"Shell Idou",23,45691912254,manual-registration,actionpending|remove_of_source|contactcenter_region4,"+54 2 79 2274 5904",39476
" Sonny",59,62094536443,"Email response",any_applicant|any_applicant,"+54 1 73-6529 4104",51715
"Beverie P.",81,19988966982,"Facebook Leads",case1|on_consideration,"+54 5 33 5876 29892",81973
"Carmel Pritchett",58,25690837444,"facebok Leads",contactcenter_region4,"+54 2 76-2417 5665",95511
" F. Briscoe",119,52416602737,"facebook leads",contactondemand|any_applicant,"+54 3-64 2632 28217",32769
"Lotta Mas",15,36398160827,"google form",contactcenter_region4|contactcenter_region4,"+54 4 95 5095 7159",79144
"Mildred Maryly",96,24697838675,"Facebook Leads",case1,"+54 6 13-7353 54544",32725
"Lusa Janith",5,97933381661,"facebook leads",case1|source_dependant,"2 73 5557-15499",13562
"Arabella Verina",19,782709618120,"Google forms",possible_buyer,"5 55 1334 8288",56245
" Couture",60,93136537663,"Google forms",remove_of_source|remove_of_source23,"+54 5 66-1054 1008",80800
Phyllys,82,43313287178,"Google forms",contactondemand|form_ui344|any_applicant,"5 89 2968 1259",18090
"Willa Lacombe",2,24823486013,"Google forms",case1|call_again30|call_again,"5 43 9463-83698",56119
" Denbrook",74,65129502244,"google Forms",treaty|most_interested,"6-51-1023 6355",63880
"Eddy M. August",66,20425974716,"facebok Leads",techsource_29,"4 44-7899-6341",27266
Zarla,73,41998156309,"Email RESPONSE",source_dependant17,"1 15-1413 5089",47160
"Maire D. Merat",37,78289997635,"Manual registration",most_interested|contactondemand,"2 10 5653 24597",14207
" N. Ellita",105,80100620500,"Email response",contactcenter_region3|client_only9|any_applicant26,"3 72-3353 5155",19404
"Orelie Zsazsa",106,50224436151,manual-registration,case1|treaty26|contactcenter_region1,"1 77 7454 8859",84491
" Rodmun",40,22963336808,"Email response",least_interested10|any_applicant,"4 71 4300-2947",31230
"Glen Bette-Ann",120,27746585105,"facebook leads",contactcenter_region4|any_applicant|case121,"9 44-8831 3219",69954
"Starlin Mohandas",71,55753061945,manual-registration,on_consideration|techsource_29,"3 11-6270 1870",61830
Dana,24,44264899849,"Manual registration",most_interested10,"+54 8 57-7055 1194",87489
"Ebony A. Prasad",41,37355211738,"google form",apply_0_cases8|source_dependant16|apply_0_cases22,"+54 5-83 6579 6922",81443
"Cassy J. Plafker",67,5523892527,"Manual registration",actionable|apply_0_cases,"9 99-4025 1964",27906
"Carena G. Carbo",76,52949328006,"google form",call_again|contactcenter_region4|contactcenter_region3,"+54 9 22 7315 7975",65876
"Harri D. Ailee",9,88064664083,"facebok Leads",case1|case1,"9 60 3924-4136",49094
"Truda Mount",98,38533697451,"facebok Leads",least_interested19|form_ui34415,"3 77 3261 5129",38984
"Jessie A. Arick",102,1382693786,"Facebook Leads",actionable|contactcenter_region229,"+54 3 91-7548 1206",71604
"Melloney R. Eddie",124,5777295456643,"google Forms",never_call|techsource_29|most_interested,"1-83-6297 4203",35293
Merci,71,51178058468,"MANUAL REGistration",never_call,"7 32-6116-9677",34325
"Lurline W. Toby",110,46455584460,"google form",most_interested,"8 37 7471 7050",38950
"Julia L. Prospero",94,42514634807,"Google forms",rangeof_action26|contactcenter_region2,"+54 5 47 2960 35399",58272
"Sharon Colvert",65,2039036823,"Facebook Leads",contactcenter_region48,"+54 3 13 4851 1755",70465
"Jasmina L. Jehias",80,820816420,"facebook leads",treaty,"9 42 5500 6990",80577
"Vitoria Ellerey",66,44495192587,manual-registration,contactondemand|techsource_296|contactcenter_region29,"1 73 7849 1695",15434
Sabrina,53,54101338169,"Email response",contactcenter_region426|least_interested,"7 70-9551-5932",89629
"Cecile A. Charleton",33,52121627031,"google form",contactcenter_region2,"1-12 7739 7230",87094
"Eleanore I.",76,48935693511,"MANUAL REGistration",least_interested,"4 27 5525-2649",25670
" T. Rudin",24,57717734623,"facebook leads",most_interested|special|limit,"2 49 1639 7760",89702
" Adriana",39,19918251718,"Email response",techsource_29,"+54 9 76 9591 8367",93953
"Cristie Besnard",112,70388771888,"google form",never_call,"2 93 7949 2611",20471
"Drusi Vivi",118,63501316609,"Email RESPONSE",rangeof_action|limit|least_interested,"+54 3 17 2257 60514",96345
"Miof Mela Reeve",116,89483518172,"Email RESPONSE",contactcenter_region2|call_again,"5 99 3771 7140",88676
"Angelina Hanford",46,57939157396,"facebok Leads",rangeof_action|possible_buyer5,"+54 5 17 2427-1898",51335
"Geralda Supple",117,73180855181,"google form",possible_buyer|actionable5,"1-80 2760 4731",65418
"Dacie Ranzini",84,31836740824,"google form",contactcenter_region2,"4-67 3251-25368",62288
" V. Keily",97,72332247975,"Facebook Leads",actionable29|special,"8 13 1948 9355",75009
"Farah B. Gapin",74,83465695163,manual-registration,client_only,"9 17-2719 7542",55557
"Kathryn R. Wyck",86,77273493838,"Manual registration",least_interested,"+54 6 44 4468 82758",74094
"Vere Driskill",83,6749202094804,"Facebook Leads",most_interested|contactondemand17|least_interested,"+54 2 24-5319-7763",89598
"Lydie Feldt",120,16187985533,manual-registration,never_call|case1|techsource_29,"5 69 1010 4049",21338
"Sabrina Tobie",108,73129211117,"Facebook Leads",contactcenter_region313,"2 21 8908-29594",98499
"Ann-Marie Efren",81,19019176173,"facebook leads",call_again,"6 36 4471 7239",55814
